"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","1",""
"C2","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","~","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","1",""
"C3","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P5.00mm","~","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P5.00mm","1",""
"C4","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1",""
"D1","Red LED","~","LED_THT:LED_D5.0mm","1",""
"D2","1N4007-Horizontal","~","Diode_THT:D_A-405_P7.62mm_Horizontal","1",""
"D3","1N4004-Vertical-Cathode-Up","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_KathodeUp","1",""
"J1","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1",""
"J2","Conn_01x05_Pin,Conn_02x04_Counter_Clockwise","~","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,Package_DIP:DIP-8_W7.62mm_Socket","1",""
"J3","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal","1",""
"K1","G5V-2","http://omronfs.omron.com/en_US/ecb/products/pdf/en-g5v_2.pdf","Relay_THT:Relay_DPDT_Omron_G5V-2","1",""
"K2","Relay_DPDT_Latching_2coil_Omron_G6AK","~","Relay_THT:Relay_DPDT_Omron_G6AK","1",""
"K3","Relay_DPDT_Latching_1coil_Omron_G6A","~","Relay_THT:Relay_DPDT_Omron_G6A","1",""
"Q1","Q_PMOS_DGS-BS250-transistor-to-92-inline-wide","~","Package_TO_SOT_THT:TO-92_Inline_Wide","1",""
"Q2","Q_PMOS_GDSD-IRF4905-transistor-to-220","~","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"Q3","Q_NMOS_GDS-IRF510-transistor-to-220","~","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"Q4","Q_NPN_EBC-S8050-to-92-inline-wide","~","Package_TO_SOT_THT:TO-92_Inline_Wide","1",""
"Q5","npn-cbe-bc517-darlington-transistor-to-92-inline-wide","https://www.onsemi.com/pub/Collateral/BC517-D74Z-D.PDF","Package_TO_SOT_THT:TO-92_Inline_Wide","1",""
"Q6","Q_NMOS_SGD-2N7000-transistor-to-92-inline-wide","~","Package_TO_SOT_THT:TO-92_Inline_Wide","1",""
"Q7","Q_PNP_EBC-S8550-transistor-to-92-inline-wide","~","Package_TO_SOT_THT:TO-92_Inline_Wide","1",""
"Q8","pnp-cbe-bc516-darlington-transistor-to-92-inline-wide","https://www.onsemi.com/pub/Collateral/BC516-D.PDF","Package_TO_SOT_THT:TO-92_Inline_Wide","1",""
"Q9","Q_NPN_EBC-2n2222-to-92-inline-wide","~","Package_TO_SOT_THT:TO-92_Inline_Wide","1",""
"R1","Horizontal","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R2","Vertical","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"RV1","R_Potentiometer-5mm-square-horizontal","~","Potentiometer_THT:Potentiometer_ACP_CA9-H5_Horizontal","1",""
"U1","TL431LP-to-92-inline-wide","http://www.ti.com/lit/ds/symlink/tl431.pdf","Package_TO_SOT_THT:TO-92_Inline_Wide","1",""
"U2","LD1117V33","https://www.st.com/resource/en/datasheet/ld1117.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
